,Unnamed: 0,sno,serialno,Computer_FileNO,IncidentDistrict,PermanentDistrict,year_INC_NEP,age_2,Age,Year,Event_Date,Region2,Region1,Mobility,IncidentOutcome,Killed_Type,By_State,By_Maoist,Other_Perpetrators,Gender,MaritalStatus,LanguageGroup,CasteGroup,Partyaffiliation,EconomicStatus,Education,OccupationCategory,Informer,LivelihoodDependence,Compensation,Displacement,DisplacementResettlement,IncidentVictim,lon,lat
0,0,47.0,2.0,8614.0,BAGLUNG,52.0,2060.0,,19.0,2004.0,2004-04-22,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,3.0,5.0,9.0,,1.0,1.0,0.0,0.0,0.0,83.4376657623,28.2172098687
1,1,47.0,4.0,2999.0,BAGLUNG,47.0,2060.0,,48.0,2003.0,2003-12-08,3.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,99.0,4.0,6.0,1.0,,1.0,1.0,0.0,0.0,0.0,82.9981825524,28.5635063823
2,2,47.0,6.0,6680.0,BAGLUNG,54.0,2061.0,,23.0,2005.0,2005-03-21,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,2.0,5.0,9.0,,1.0,1.0,0.0,0.0,0.0,82.924377885,28.5582484087
3,3,47.0,7.0,7158.0,BAGLUNG,6.0,2062.0,,35.0,2005.0,2005-12-20,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,99.0,3.0,4.0,6.0,,1.0,1.0,0.0,0.0,0.0,83.0855632157,28.5851596283
4,4,47.0,9.0,2298.0,BAGLUNG,47.0,2059.0,,28.0,2002.0,2002-11-11,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,99.0,4.0,8.0,1.0,,1.0,1.0,0.0,0.0,0.0,83.0996905252,28.3726911099
5,5,47.0,10.0,676.0,BAGLUNG,73.0,2058.0,,26.0,2002.0,2002-03-10,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,99.0,3.0,3.0,5.0,,1.0,1.0,0.0,0.0,0.0,82.9757308742,28.5033371472
6,6,47.0,23.0,923.0,BAGLUNG,36.0,2057.0,,23.0,2000.0,2000-11-18,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,10.0,2.0,99.0,3.0,5.0,5.0,,1.0,1.0,0.0,0.0,0.0,83.3838471311,28.2479573426
7,7,47.0,34.0,3698.0,BAGLUNG,47.0,2060.0,,24.0,2003.0,2003-11-26,3.0,2.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,2.0,10.0,2.0,5.0,3.0,5.0,9.0,,1.0,1.0,0.0,0.0,-88.0,82.9454880331,28.4554539947
8,8,47.0,39.0,5092.0,BAGLUNG,54.0,2060.0,,20.0,2004.0,2004-04-01,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,3.0,5.0,9.0,,1.0,1.0,0.0,0.0,0.0,83.2318912362,28.2402589141
9,9,47.0,44.0,3095.0,BAGLUNG,47.0,2061.0,,62.0,2004.0,2004-04-18,3.0,2.0,2.0,3.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,99.0,3.0,8.0,1.0,,1.0,1.0,1.0,0.0,-88.0,83.3333184592,28.2604223695
10,10,47.0,47.0,3705.0,BAGLUNG,47.0,2057.0,,34.0,2000.0,2000-11-18,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,3.0,4.0,9.0,,1.0,1.0,0.0,0.0,0.0,83.2395298051,28.2554306468
11,11,47.0,50.0,8721.0,BAGLUNG,52.0,2060.0,,20.0,2004.0,2004-03-20,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,2.0,5.0,4.0,6.0,9.0,,1.0,1.0,0.0,0.0,0.0,83.3340783309,28.2089152084
12,12,47.0,52.0,6790.0,BAGLUNG,54.0,2060.0,,28.0,2003.0,2003-10-21,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,3.0,6.0,9.0,,1.0,1.0,0.0,0.0,0.0,83.1677074928,28.4717392542
13,13,47.0,54.0,6823.0,BAGLUNG,38.0,2059.0,,24.0,2002.0,2002-11-12,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,99.0,4.0,4.0,6.0,,1.0,1.0,0.0,0.0,0.0,83.2468799773,28.2748116054
14,14,47.0,57.0,3083.0,BAGLUNG,47.0,2061.0,,30.0,2004.0,2004-11-04,3.0,2.0,2.0,3.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,4.0,7.0,9.0,,1.0,1.0,0.0,0.0,-88.0,83.0535108879,28.4772142437
15,15,47.0,58.0,2077.0,BAGLUNG,47.0,2061.0,,5.0,2004.0,2004-04-25,3.0,2.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0,99.0,4.0,7.0,1.0,,1.0,1.0,0.0,0.0,0.0,83.0359536789,28.5764949785
16,16,47.0,60.0,2964.0,BAGLUNG,47.0,2062.0,,22.0,2006.0,2006-01-27,3.0,2.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,4.0,5.0,9.0,,1.0,1.0,0.0,0.0,0.0,83.3338559234,28.3002002077
17,17,47.0,70.0,5304.0,BAGLUNG,26.0,2060.0,,26.0,2004.0,2004-01-11,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,99.0,5.0,9.0,6.0,,1.0,1.0,0.0,0.0,0.0,83.3163202148,28.2851865953
18,18,47.0,75.0,2084.0,BAGLUNG,38.0,2057.0,,23.0,2000.0,2000-10-26,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,99.0,3.0,4.0,5.0,,1.0,1.0,0.0,0.0,0.0,83.4537250188,28.280699018
